x,y,y_predictions
718.05,3.48,-2404.45566968
735.45,31.03,-2127.97331975
750.55,49.88,-1888.03748735
764.75,92.8,-1662.40246615
782.15,139.49,-1385.92011623
791.65,221.56,-1234.96710909
824.7,284.2,-709.809542135
847.4,377.0,-349.111304018
858.4,448.63,-174.323611538
879.4,550.42,159.361983196
901.4,650.76,508.937368155
926.35,777.45,905.387634279
946.5,934.97,1225.56690732
976.85,1094.17,1707.82204066
988.25,1295.03,1888.96564923
999.1,1427.27,2061.36987318
1008.75,1589.35,2214.70634885
1020.25,1802.97,2397.43893645
1031.55,2081.31,2576.99356599
1041.85,2210.49,2740.65840532
1066.05,2764.12,3125.19132877
1078.0,2952.85,3315.07432196
1089.65,3217.57,3500.19037809
1114.2,3293.29,3890.28472812
1124.1,3548.55,4047.59365136
1135.5,3713.73,4228.73725993
1142.6,3968.8,4341.55477053
1161.6,4277.88,4643.46078481
1171.05,4424.45,4793.61930244
1190.85,4850.23,5108.2371489
1242.85,5189.18,5934.50624062
1253.1,5473.1,6097.37659044
1262.55,5739.86,6247.53510807
1272.5,5927.82,6405.63852081
1278.8,6094.1,6505.74419923
1300.6,6280.5,6852.14162614
1311.35,6484.7,7022.95687107
1319.55,6667.66,7153.25315091
1339.15,6916.02,7464.69303933
1347.3,7122.22,7594.19482967
1356.8,7305.3,7745.14783681
1380.4,7589.06,8120.14688613
1391.35,7775.62,8294.1400891
1406.5,7983.18,8534.87041101
1417.9,8195.46,8716.01401958
1426.0,8403.5,8844.72132041
1434.35,8593.02,8977.40106879
1446.15,8784.22,9164.90059345
1458.75,8991.86,9365.11195029
1481.85,9227.22,9732.1661045
1493.2,9452.18,9912.51522356
1506.05,9681.82,10116.699028
1527.3,10056.98,10454.3570702
1535.45,10319.42,10583.8588606
1546.4,10614.06,10757.8520636
1566.25,10975.14,11073.2643995
1579.2,11201.7,11279.0371829
1599.7,11582.18,11604.7778826
1602.4,11825.66,11647.6803162
1624.5,12070.3,11998.8446802
1637.0,12456.34,12197.467058
1647.1,12681.34,12357.9539393
1656.6,12941.02,12508.9069464
1681.5,13133.26,12904.562723
1703.15,13501.94,13248.5766814
1728.2,13899.9,13646.6159265
1737.9,14116.86,13800.7468917
1750.15,14354.74,13995.396822
1761.45,14611.5,14174.9514515
1785.45,14897.29,14556.3064169
1800.5,15154.05,14795.4477598
1827.4,15439.45,15222.8831169
1849.45,15674.57,15573.2529914
1861.95,15834.37,15771.8753692
1872.85,16037.05,15945.0740826
1891.15,16231.97,16235.8572438
1903.55,16412.37,16432.8906426
1914.85,16565.25,16612.4452721
1941.8,16809.57,17040.6751187
1953.5,16971.25,17226.5856643
1974.75,17138.37,17564.2437066
1984.45,17362.89,17718.3746718
1989.0,17594.45,17790.6732173
1998.1,17834.93,17935.2703084
2011.5,18015.17,18148.1934974
2024.15,18217.41,18349.1993437
2054.7,18451.21,18834.6324351
2065.3,18671.57,19003.0642115
2073.8,18906.97,19138.1274284
2084.85,19124.65,19313.7096104
2103.3,19380.13,19606.8762401
2106.05,19578.49,19650.5731632
2127.4,19776.09,19989.8201845
2141.3,19949.01,20210.6882687
2147.4,20125.01,20307.615989
2167.4,20343.85,20625.4117935
2188.35,20577.73,20958.3028988
2199.5,20788.45,21135.4740598
2210.1,20992.25,21303.9058362
2223.5,21186.37,21516.8290252
2232.1,21379.37,21653.4812211
2244.1,21669.25,21844.1587038
2242.85,21785.48,21824.296466
2253.0,21948.68,21985.5778368
2266.3,22268.64,22196.9120468
2286.4,22557.68,22516.2968304
2314.05,22838.64,22955.6495301
2325.2,23096.8,23132.8206911
2335.05,23322.59,23289.3351248
2344.1,23568.79,23433.1377264
2352.9,23804.19,23572.9678804
2363.7,24055.43,23744.5776148
2373.35,24268.47,23897.9140905
2382.7,24442.79,24046.4836291
2390.45,24657.35,24169.6295033
2400.1,24863.83,24322.965979
2409.6,25093.47,24473.9189861
2418.9,25224.75,24621.6940352
2436.6,25546.59,24902.9433222
2446.2,25753.47,25055.4853084
2466.5,25966.15,25378.04805
2493.05,26209.31,25799.9219804
2506.8,26371.39,26018.406596
2530.0,26745.05,26387.0497293
2538.35,26952.29,26519.7294777
2552.15,27150.01,26739.0085828
2578.45,27403.13,27156.9100657
2599.75,27651.85,27495.3625975
2614.6,27839.37,27731.3259823
2624.15,27973.57,27883.073479
